PrescriptionStatus,ImageUrl,Name,Manufacturer,ActiveSubstance,Price,OldPrice,DrugUrl
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/DwASoZcB2BGN4fsdNoWX-300x300,Форсига Таблетки покрытые пленочной оболочкой 10 мг 90 шт,AstraZeneca,Дапаглифлозин,7467.3,8297,https://gorzdrav.org/category/sredstva-ot-diabeta/p/-forsiga-0-01-n90-tabl-p-plen-oboloch-626185/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/0Z0XgZkBzNe2qSeaJzqf-300x300,Набор из двух упаковок Галвус Таблетки 50 мг 28 шт,,,1466,1666,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_galvus-tab-50mg-28-31619_11000154/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/B7CFtZUBrbRC1cy5iU_5-300x300,Галвус Таблетки 50 мг 28 шт,Новартис Фарма,Вилдаглиптин,833,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/galvus-tabl-50mg-n28-31619/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/KaDxCZgBDFOSMvLTKCwp-300x300,"Семавик Некст Раствор для подкожного введения 0,5 мг/доза шприц-ручка 3 мл 1 шт + иглы 4 шт",Герофарм,Семаглутид,4819,5519,https://gorzdrav.org/category/sredstva-ot-diabeta/p/semavik-nekst-0-0005-doza-3ml-n1-shpricruchka-rr-p-k-igla-odnoraz-n4-667604/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/5abatZUB4hniyrJCh2Vv-300x300,Диабетон МВ Таблетки 60 мг 30 шт,СЕРВЬЕ РУС,Гликлазид,250,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/diabeton-mv-tabl-60mg-n30-40683/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/QnCNb5sB-jufNU_rPc3L-300x300,Набор из двух упаковок Галвус Мет Таблетки 50 мг + 1000 мг 30 шт,,,2722,3522,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_galvus-met-tabl-p-o-50mg-1000mg-n30-41471-2/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/FJzktZUBybk0vr4zJdN4-300x300,Галвус Мет Таблетки покрытые пленочной оболочкой 50 мг + 1000 мг 30 шт,Новартис Фарма,Вилдаглиптин+Метформин,1761,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/galvus-met-tabl-p-o-50mg-1000mg-n30-41471/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/8o1ltZUBrbRC1cy50_eL-300x300,Сиофор Таблетки покрытые оболочкой 1000 мг 60 шт,Berlin-Chemie,Метформин,219,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/siofor-tabl-p-o-1000mg-n60-24477/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/a5Tht5UB_o6zmeq9DoZ2-300x190,"Туджео СолоСтар Раствор для подкожного введения 300 ЕД/мл 1,5 мл картриджи в Шприц-ручках СолоСтар 3 шт",Санофи,Инсулин гларгин,3138,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tudzheo-solostar-rr-d-i-300ed-ml-1-5ml-n3-192497/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/6ns9uJUBybk0vr4zCqFj-300x300,Глюкофаж Лонг 750 мг Таблетки пролонгированного действия 60 шт,Нанолек,Метформин,543,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/gljukofazh-long-tab-prolong-dja-750mg60-13775/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/0w3ftZUB4hniyrJCaB2e-300x300,Берлитион 600 Концентрат для приготовления раствора для инфузий 25 мг/мл ампулы 24 мл 5 шт,Berlin-Chemie,Тиоктовая кислота,1013.4,1126,https://gorzdrav.org/category/sredstva-ot-diabeta/p/berlition-rr-d-in-600ed-25mg-ml-24ml-n5-40837/
